Act Title,Act No,Act Year,Act Link,full_text,is_repealed
"THE [***] WILLS AND INTESTACY REGULATION, 1799",V,1799,http://bdlaws.minlaw.gov.bd/act-1315.html,http://bdlaws.minlaw.gov.bd/act-print-1315.html,False
"THE  [***] CHARITABLE ENDOWMENTS PUBLIC BUILDINGS AND ESCHEATS REGULATION, 1810",XIX,1810,http://bdlaws.minlaw.gov.bd/act-1316.html,http://bdlaws.minlaw.gov.bd/act-print-1316.html,False
"THE [***] STATE PRISONERS REGULATION, 1818",III,1818,http://bdlaws.minlaw.gov.bd/act-1317.html,http://bdlaws.minlaw.gov.bd/act-print-1317.html,False
"THE [***] GOVERNMENT INDEMNITY REGULATION, 1822",XI,1822,http://bdlaws.minlaw.gov.bd/act-1318.html,http://bdlaws.minlaw.gov.bd/act-print-1318.html,False
"THE [***] ALLUVION AND DILUVION REGULATION, 1825",XI,1825,http://bdlaws.minlaw.gov.bd/act-1319.html,http://bdlaws.minlaw.gov.bd/act-print-1319.html,False
"THE [***] REVENUE COMMISSIONERS REGULATION, 1829",I,1829,http://bdlaws.minlaw.gov.bd/act-1320.html,http://bdlaws.minlaw.gov.bd/act-print-1320.html,False
"THE [***] SATI REGULATION, 1829",XVII,1829,http://bdlaws.minlaw.gov.bd/act-1321.html,http://bdlaws.minlaw.gov.bd/act-print-1321.html,False
"THE [***] LAND-REVENUE (SETTLEMENT AND DEPUTY COLLECTORS) REGULATION, 1833",IX,1833,http://bdlaws.minlaw.gov.bd/act-1322.html,http://bdlaws.minlaw.gov.bd/act-print-1322.html,False
"The Districts Act, 1836",XXI,1836,http://bdlaws.minlaw.gov.bd/act-1.html,http://bdlaws.minlaw.gov.bd/act-print-1.html,False
"The Public Accountant's Default Act, 1850",XII,1850,http://bdlaws.minlaw.gov.bd/act-2.html,http://bdlaws.minlaw.gov.bd/act-print-2.html,False
"The Judicial Officer's Protection Act, 1850",XVIII,1850,http://bdlaws.minlaw.gov.bd/act-3.html,http://bdlaws.minlaw.gov.bd/act-print-3.html,False
"The Public Servants (Inquiries) Act, 1850",XXXVII,1850,http://bdlaws.minlaw.gov.bd/act-4.html,http://bdlaws.minlaw.gov.bd/act-print-4.html,False
"The Tolls Act, 1851",VIII,1851,http://bdlaws.minlaw.gov.bd/act-5.html,http://bdlaws.minlaw.gov.bd/act-print-5.html,False
"The Legal Representative Suits Act, 1855",XII,1855,http://bdlaws.minlaw.gov.bd/act-6.html,http://bdlaws.minlaw.gov.bd/act-print-6.html,False
"The Fatal Accidents Act, 1855",XIII,1855,http://bdlaws.minlaw.gov.bd/act-7.html,http://bdlaws.minlaw.gov.bd/act-print-7.html,False
